t,S,I,R,I_obs,Rt
2020-02-04,5.600000e+07,1.000000e+00,0.000000e+00,0.000000e+00,3.011985
2020-02-05,5.600000e+07,1.495423e+00,2.462362e-01,2.000000e+00,3.011985
2020-02-06,5.600000e+07,2.236250e+00,6.144433e-01,3.000000e+00,3.011985
2020-02-07,5.600000e+07,3.344380e+00,1.165208e+00,6.000000e+00,3.011985
2020-02-08,5.599999e+07,5.000785e+00,1.988477e+00,8.000000e+00,3.011985
2020-02-09,5.599999e+07,7.478603e+00,3.220007e+00,7.000000e+00,3.011985
2020-02-10,5.599998e+07,1.118398e+01,5.061662e+00,1.400000e+01,3.011985
2020-02-11,5.599998e+07,1.672284e+01,7.814596e+00,2.000000e+01,3.011985
2020-02-12,5.599996e+07,2.501282e+01,1.193490e+01,1.500000e+01,3.011985
2020-02-13,5.599994e+07,3.739704e+01,1.809013e+01,4.700000e+01,3.011985
2020-02-14,5.599992e+07,5.592459e+01,2.729874e+01,5.600000e+01,3.011985
2020-02-15,5.599988e+07,8.364861e+01,4.107822e+01,9.300000e+01,3.011985
2020-02-16,5.599981e+07,1.250524e+02,6.165688e+01,1.240000e+02,3.011985
2020-02-17,5.599972e+07,1.870201e+02,9.245635e+01,1.900000e+02,3.011985
2020-02-18,5.599958e+07,2.797247e+02,1.385330e+02,2.820000e+02,3.011985
2020-02-19,5.599937e+07,4.181726e+02,2.073455e+02,4.570000e+02,3.011985
2020-02-20,5.599906e+07,6.254086e+02,3.103485e+02,5.930000e+02,3.011985
2020-02-21,5.599860e+07,9.353771e+02,4.644145e+02,9.120000e+02,3.011985
2020-02-22,5.599791e+07,1.398345e+03,6.945302e+02,1.363000e+03,3.011985
2020-02-23,5.599687e+07,2.091375e+03,1.039005e+03,2.130000e+03,3.011985
2020-02-24,5.599532e+07,3.127607e+03,1.554089e+03,3.111000e+03,3.011985
2020-02-25,5.599300e+07,4.675607e+03,2.323598e+03,4.688000e+03,3.011985
2020-02-26,5.598953e+07,6.992691e+03,3.475510e+03,7.081000e+03,3.011985
2020-02-27,5.598435e+07,1.045553e+04,5.197223e+03,1.040000e+04,3.011985
2020-02-28,5.597660e+07,1.562903e+04,7.769889e+03,1.573700e+04,3.011985
2020-02-29,5.596501e+07,2.336975e+04,1.162300e+04,2.315600e+04,3.011985
2020-03-01,5.594783e+07,3.477573e+04,1.739354e+04,3.483100e+04,2.695838
2020-03-02,5.592386e+07,5.031715e+04,2.582042e+04,5.010100e+04,2.603310
2020-03-03,5.589263e+07,6.962959e+04,3.773655e+04,7.013300e+04,2.490122
2020-03-04,5.585339e+07,9.271189e+04,5.389762e+04,9.319700e+04,2.317516
2020-03-05,5.580436e+07,1.205131e+05,7.512517e+04,1.205440e+05,2.254219
2020-03-06,5.574209e+07,1.552976e+05,1.026131e+05,1.547160e+05,2.168481
2020-03-07,5.566689e+07,1.955334e+05,1.375755e+05,1.951640e+05,2.121570
2020-03-08,5.557550e+07,2.431705e+05,1.813312e+05,2.424990e+05,1.973673
2020-03-09,5.546974e+07,2.951886e+05,2.350758e+05,2.954960e+05,1.959575
2020-03-10,5.533912e+07,3.605027e+05,3.003808e+05,3.603320e+05,2.044610
2020-03-11,5.517768e+07,4.419483e+05,3.803703e+05,4.422530e+05,1.960700
2020-03-12,5.498947e+07,5.327825e+05,4.777488e+05,5.329890e+05,1.868405
2020-03-13,5.478036e+07,6.261383e+05,5.934970e+05,6.262130e+05,1.798389
2020-03-14,5.454421e+07,7.270863e+05,7.287033e+05,7.279640e+05,1.686382
2020-03-15,5.428934e+07,8.264765e+05,8.841821e+05,8.253890e+05,1.625405
2020-03-16,5.401372e+07,9.268991e+05,1.059380e+06,9.266670e+05,1.523271
2020-03-17,5.372711e+07,1.018487e+06,1.254398e+06,1.018498e+06,1.346439
2020-03-18,5.345386e+07,1.081477e+06,1.464666e+06,1.083446e+06,1.284063
2020-03-19,5.317953e+07,1.133923e+06,1.686546e+06,1.133393e+06,1.201006
2020-03-20,5.290938e+07,1.173202e+06,1.917422e+06,1.174694e+06,1.179115
2020-03-21,5.264812e+07,1.197124e+06,2.154760e+06,1.197084e+06,1.113767
2020-03-22,5.240578e+07,1.199500e+06,2.394720e+06,1.199501e+06,1.021444
2020-03-23,5.217835e+07,1.188076e+06,2.633572e+06,1.187990e+06,0.975166
2020-03-24,5.196048e+07,1.170066e+06,2.869452e+06,1.170396e+06,0.934978
2020-03-25,5.176003e+07,1.139420e+06,3.100553e+06,1.139913e+06,0.903017
2020-03-26,5.157631e+07,1.099007e+06,3.324681e+06,1.098410e+06,0.876033
2020-03-27,5.140084e+07,1.058756e+06,3.540408e+06,1.060593e+06,0.801597
2020-03-28,5.123963e+07,1.012774e+06,3.747591e+06,1.013532e+06,0.794088
2020-03-29,5.109825e+07,9.569283e+05,3.944826e+06,9.578110e+05,0.766877
2020-03-30,5.096879e+07,9.005862e+05,4.130621e+06,9.018030e+05,0.761898
2020-03-31,5.084862e+07,8.461217e+05,4.305255e+06,8.451880e+05,0.752356
2020-04-01,5.073528e+07,7.954622e+05,4.469255e+06,7.939530e+05,0.785662
2020-04-02,5.062558e+07,7.506068e+05,4.623814e+06,7.508580e+05,0.787582
2020-04-03,5.052178e+07,7.085187e+05,4.769706e+06,7.082460e+05,0.781422
2020-04-04,5.042400e+07,6.686246e+05,4.907376e+06,6.682220e+05,0.773631
2020-04-05,5.033304e+07,6.298118e+05,5.037143e+06,6.288040e+05,0.783814
2020-04-06,5.024672e+07,5.938952e+05,5.159386e+06,5.937770e+05,0.755866
2020-04-07,5.016621e+07,5.591137e+05,5.274679e+06,5.585030e+05,0.767022
2020-04-08,5.009319e+07,5.237270e+05,5.383085e+06,5.245650e+05,0.712788
2020-04-09,5.002847e+07,4.873226e+05,5.484206e+06,4.867800e+05,0.713519
2020-04-10,4.996862e+07,4.531539e+05,5.578224e+06,4.543590e+05,0.741176
2020-04-11,4.991185e+07,4.224185e+05,5.665728e+06,4.226120e+05,0.736198
2020-04-12,4.985772e+07,3.948979e+05,5.747383e+06,3.960570e+05,0.749658
2020-04-13,4.980736e+07,3.688931e+05,5.823744e+06,3.696510e+05,0.740564
2020-04-14,4.976025e+07,3.446517e+05,5.895097e+06,3.444820e+05,0.754333
2020-04-15,4.971492e+07,3.232242e+05,5.961857e+06,3.228800e+05,0.781210
2020-04-16,4.967112e+07,3.043473e+05,6.024531e+06,3.047530e+05,0.792217
2020-04-17,4.963025e+07,2.862027e+05,6.083545e+06,2.852950e+05,0.759378
2020-04-18,4.959294e+07,2.681405e+05,6.138919e+06,2.685820e+05,0.776856
2020-04-19,4.955730e+07,2.517667e+05,6.190934e+06,2.504610e+05,0.762883
2020-04-20,4.952261e+07,2.375102e+05,6.239883e+06,2.377000e+05,0.817428
2020-04-21,4.948944e+07,2.245043e+05,6.286055e+06,2.249880e+05,0.796150
2020-04-22,4.945905e+07,2.113267e+05,6.329628e+06,2.112020e+05,0.759188
2020-04-23,4.943137e+07,1.980886e+05,6.370544e+06,1.986230e+05,0.745457
2020-04-24,4.940628e+07,1.848924e+05,6.408824e+06,1.840310e+05,0.723521
2020-04-25,4.938356e+07,1.719324e+05,6.444512e+06,1.720030e+05,0.712400
2020-04-26,4.936281e+07,1.595113e+05,6.477677e+06,1.596200e+05,0.710017
2020-04-27,4.934379e+07,1.478079e+05,6.508405e+06,1.476340e+05,0.665083
2020-04-28,4.932708e+07,1.361366e+05,6.536783e+06,1.357210e+05,0.657463
2020-04-29,4.931223e+07,1.248863e+05,6.562885e+06,1.242600e+05,0.641549
2020-04-30,4.929888e+07,1.143171e+05,6.586804e+06,1.142480e+05,0.627802